rank,2018,2019,2020,2021
1,…。,譲,譲,ローソン
2,譲,…。,求,譲
3,求,ローソン,…。,求
4,ローソン,求,ローソン,原
5,LINE,金,金,…。
6,な！,な！,な！,トク
7,金,LINE,リプ,金
8,ジェジュン,万名,LINE,前澤
9,チキ,ジェジュン,SixTONES,な！
10,かな,リプ,かな,LINE
11,万名,かな,Switch,リプ
12,キャス,引,前澤,SixTONES
13,担,もっち,Snow Man,かな
14,BTS,なのか,なのか,なのか
15,リプ,担,万名,シンデレラ
16,The,キャス,安倍,Switch
17,なのか,BTS,担,担
18,and,Switch,キャス,Snow Man
19,引,ホイップ,よね,よね
20,you,にも,ジェジュン,キャス
21,ガル,The,D.D.,にも
22,安倍,よね,原,コス
23,よね,安倍,引,もっち
24,にも,バレンタイン,BTS,バレンタイン
25,is,you,にも,ちゅ
26,お姉さん,and,バレンタイン,The
27,初見,ちゅ,ちゅ,初見
28,Switch,お姉さん,The,なな
29,東方神起,コス,Rain,悠
30,羽生,本田圭佑,ステファン,you
31,バレンタイン,Fresh,お姉さん,咲
32,コス,山本太郎,もっち,ジェル
33,乃木坂46,令和,炭,note
34,モイ,初見,100%,EX
35,at,なな,初見,100%
36,with,100%,るぅと,お姉さん
37,ちゅ,ガル,ジェル,たな
38,コナン,お兄ちゃん,乃木坂46,news
39,安室,at,note,トランプ大統領
40,お兄ちゃん,乃木坂46,コス,ちん
41,なな,翔,なな,村正
42,on,モイ,咲,お兄ちゃん
43,欅坂46,アリス,ちん,シン
44,100%,凛,お兄ちゃん,乃木坂46
45,my,ちん,モイ,Follow
46,ちん,is,なにわ男子,ジャニーズWEST
47,TWICE,欅坂46,news,マネ
48,凛,JK,さとみ,炭
49,JK,チャン,治郎,まほ
50,Sign,るん,you,るん
51,EXO,なのかな,めろ,なのかな
52,アリス,SixTONES,るん,めめ
53,るん,with,監督生,治郎
54,BLUE,Love,日向坂46,モイ
55,翔,TWICE,at,BTS
56,瞬,コナン,アリス,るぅと
